DI,StructuralIntegrity,ExteriorCharm
0,4,Common
1,8,Common
2,5,Common
3,6,Common
4,6,Common
5,5,Common
6,5,Gleaming
7,6,Common
8,5,Gleaming
9,5,Common
10,7,Common
11,5,Gleaming
12,7,Gleaming
13,9,Enchanting
14,6,Common
15,5,Gleaming
16,3,Common
17,5,Common
18,5,Gleaming
19,5,Gleaming
20,7,Common
21,4,Common
22,4,Common
23,5,Common
24,5,Gleaming
25,5,Enchanting
26,5,Gleaming
27,7,Common
28,7,Common
29,5,Common
30,6,Common
31,5,Common
32,5,Common
33,5,Common
34,7,Common
35,5,Common
36,5,Gleaming
37,5,Gleaming
38,5,Gleaming
39,5,Gleaming
40,5,Gleaming
41,5,Common
42,5,Common
43,5,Common
44,5,Common
45,6,Common
46,8,Common
47,5,Gleaming
48,5,Gleaming
49,5,Gleaming
50,3,Common
51,5,Common
52,5,Gleaming
53,7,Common
54,5,Common
55,5,Gleaming
56,5,Common
57,6,Common
58,7,Common
59,4,Common
60,6,Common
60,6,Common
61,5,Common
62,7,Common
63,5,Common
64,5,Common
65,5,Gleaming
66,7,Common
67,6,Common
68,3,Common
69,7,Common
70,7,Gleaming
71,5,Common
72,5,Common
73,5,Gleaming
74,5,Gleaming
75,5,Gleaming
76,7,Common
77,5,Common
78,5,Common
79,5,Gleaming
80,7,Common
81,5,Gleaming
82,7,Common
83,5,Enchanting
84,5,Common
85,5,Common
86,5,Gleaming
87,5,Gleaming
88,6,Common
89,7,Common
90,7,Common
91,7,Common
92,5,Modest
93,6,Common
94,5,Common
95,5,Common
96,8,Gleaming
97,5,Common
98,5,Gleaming
99,7,Common
100,5,Gleaming
101,7,Common
102,5,Common
103,5,Common
104,6,Common
105,6,Common
106,6,Common
107,5,Gleaming
108,5,Common
109,5,Modest
110,5,Gleaming
111,8,Common
112,5,Common
113,5,Common
114,7,Common
115,5,Common
116,4,Common
117,5,Enchanting
118,5,Gleaming
119,5,Gleaming
120,7,Common
121,4,Common
122,5,Enchanting
123,8,Common
124,5,Gleaming
125,5,Gleaming
126,6,Common
127,6,Common
128,5,Gleaming
129,7,Common
130,5,Enchanting
131,4,Common
132,5,Common
133,7,Common
134,6,Common
135,5,Gleaming
136,6,Common
137,5,Gleaming
138,5,Enchanting
139,6,Gleaming
140,6,Common
141,6,Common
142,6,Common
143,5,Enchanting
144,6,Common
145,5,Common
146,6,Gleaming
147,6,Common
148,5,Common
149,5,Gleaming
150,8,Common
151,7,Common
152,5,Gleaming
153,7,Gleaming
154,5,Common
155,5,Common
156,5,Gleaming
157,5,Common
158,6,Common
159,5,Common
160,5,Gleaming
161,5,Common
162,5,Common
163,7,Common
164,5,Gleaming
165,5,Gleaming
166,6,Common
167,8,Common
168,7,Common
169,5,Gleaming
170,5,Gleaming
171,7,Common
172,5,Common
173,6,Common
174,5,Gleaming
175,5,Gleaming
176,8,Gleaming
177,6,Common
178,6,Gleaming
179,5,Gleaming
180,5,Common
181,5,Gleaming
182,6,Common
183,5,Common
184,5,Common
185,7,Common
186,5,Common
187,6,Common
188,5,Common
189,5,Common
190,5,Common
191,7,Common
192,5,Common
193,6,Common
194,5,Gleaming
195,7,Common
196,5,Common
197,7,Gleaming
198,6,Common
199,6,Common
200,6,Common
201,2,Gleaming
202,5,Enchanting
203,5,Gleaming
204,9,Gleaming
205,5,Common
206,7,Common
207,5,Common
208,6,Common
209,6,Common
210,7,Common
211,6,Common
212,3,Common
213,5,Gleaming
214,8,Gleaming
215,7,Gleaming
216,5,Common
217,5,Gleaming
218,6,Common
219,5,Gleaming
220,5,Gleaming
221,5,Common
222,5,Common
223,5,Gleaming
224,5,Common
225,5,Enchanting
226,5,Gleaming
227,4,Common
228,8,Common
229,5,Common
230,5,Gleaming
231,6,Common
232,5,Gleaming
233,5,Gleaming
234,5,Common
235,6,Common
236,5,Common
237,5,Gleaming
238,5,Gleaming
239,6,Common
240,7,Common
241,7,Common
242,5,Gleaming
243,6,Common
244,6,Common
245,5,Gleaming
246,6,Common
247,5,Gleaming
248,5,Gleaming
249,5,Common
250,5,Gleaming
251,5,Common
252,5,Common
253,6,Gleaming
254,6,Common
255,6,Common
256,5,Gleaming
257,5,Gleaming
258,6,Common
259,4,Common
260,6,Gleaming
261,5,Common
262,5,Gleaming
263,5,Gleaming
264,5,Common
265,5,Gleaming
266,6,Common
267,5,Gleaming
268,5,Gleaming
269,8,Gleaming
270,5,Gleaming
271,5,Common
272,7,Common
273,6,Common
274,8,Common
275,5,Common
276,5,Common
277,5,Common
278,5,Common
279,5,Gleaming
280,7,Gleaming
281,6,Common
282,7,Gleaming
283,5,Gleaming
284,5,Gleaming
285,5,Gleaming
286,6,Common
287,2,Common
288,8,Common
289,8,Common
290,6,Common
291,7,Common
