DI,Craftsmanship,EraConstructed
0,6,1201
1,7,1112
2,4,1338
3,5,1212
4,5,1042
5,6,1416
6,7,1629
7,5,1085
8,7,1666
9,6,1311
10,5,1465
11,7,1649
12,6,1077
13,8,1433
14,4,1295
15,9,1663
16,2,1188
17,6,1319
18,7,1609
19,7,1617
20,4,1176
21,5,1496
22,5,1125
23,5,1342
24,7,1437
25,9,1785
26,7,1671
27,5,1547
28,4,1101
29,5,1303
30,4,1058
31,6,1501
32,4,1356
33,6,1537
34,6,1002
35,6,1367
36,7,1406
37,7,1632
38,7,1705
39,6,1311
40,8,1667
41,5,1471
42,6,1291
43,3,1360
44,5,1363
45,6,1142
46,7,1082
47,7,1676
48,7,1745
49,6,1629
50,4,1014
51,6,1488
52,7,1681
53,4,1131
54,4,1161
55,7,1725
56,6,1283
57,5,1425
58,6,1023
59,5,1296
60,7,1492
60,7,1492
61,5,1272
62,5,1287
63,6,1289
64,7,1490
65,7,1735
66,5,1271
67,5,1025
68,3,1239
69,6,1327
70,7,1566
71,6,1402
72,7,1465
73,7,1708
74,8,1794
75,7,1689
76,5,1247
77,5,1563
78,6,1566
79,8,1602
80,5,1518
81,7,1684
82,5,1276
83,9,1664
84,5,1380
85,8,1599
86,7,1046
87,7,1752
88,5,1177
89,6,1094
90,5,1073
91,7,1008
92,4,1121
93,6,1470
94,5,1267
95,6,1314
96,7,1499
97,6,1588
98,6,1774
99,5,1345
100,7,1710
101,7,1152
102,5,1383
103,5,1385
104,6,1232
105,6,1509
106,5,1239
107,6,1782
108,6,1362
109,4,1028
110,7,1423
111,5,1278
112,5,1581
113,7,1492
114,5,1249
115,5,1330
116,5,1241
117,9,1696
118,6,1437
119,8,1678
120,5,1378
121,4,1023
122,10,1619
123,6,1116
124,7,1736
125,8,1640
126,5,1213
127,4,1315
128,9,1679
129,5,1244
130,9,1631
131,5,1193
132,5,1296
133,5,1093
134,6,1209
135,9,1698
136,6,1013
137,8,1539
138,10,1763
139,5,1559
140,4,1237
141,7,1038
142,5,1184
143,9,1624
144,7,1251
145,6,1013
146,8,1699
147,5,1576
148,5,1427
149,6,1729
150,6,1123
151,6,1238
152,7,1552
153,6,1343
154,7,1536
155,4,1130
156,8,1619
157,5,1308
158,4,1149
159,5,1182
160,7,1525
161,5,1299
162,7,1768
163,6,1164
164,7,1681
165,6,1402
166,4,1282
167,6,1243
168,7,1524
169,7,1762
170,7,1751
171,5,1377
172,7,1506
173,6,1363
174,6,1624
175,8,1786
176,6,1138
177,5,1037
178,7,1597
179,8,1735
180,5,1586
181,7,1454
182,4,1029
183,6,1061
184,6,1588
185,7,1316
186,4,1735
187,6,1506
